Date;Value
15/10/2015;254,91
14/10/2015;253,76
13/10/2015;249,27
12/10/2015;246,15
11/10/2015;247,8
10/10/2015;245,77
09/10/2015;244,44
08/10/2015;243,86
07/10/2015;245,11
06/10/2015;246,01
05/10/2015;239,46
04/10/2015;238,75
03/10/2015;239,83
02/10/2015;237,62
01/10/2015;238,18
30/09/2015;237,2
29/09/2015;237,23
28/09/2015;238,19
27/09/2015;232,25
26/09/2015;234,74
25/09/2015;234,74
24/09/2015;234,91
23/09/2015;229,55
22/09/2015;229,78
21/09/2015;227,4
20/09/2015;230,28
19/09/2015;230,48
18/09/2015;233,44
17/09/2015;233,01
16/09/2015;227,99
15/09/2015;229,11
14/09/2015;231
13/09/2015;229,84
12/09/2015;234,69
11/09/2015;240
10/09/2015;239,47
09/09/2015;239,18
08/09/2015;244,37
07/09/2015;240,91
06/09/2015;241,5
05/09/2015;234,41
04/09/2015;231,08
03/09/2015;227,42
02/09/2015;229,04
01/09/2015;226,95
31/08/2015;230,01
30/08/2015;228,13
29/08/2015;228,51
28/08/2015;233,51
27/08/2015;227,08
26/08/2015;226,84
25/08/2015;226
24/08/2015;215,04
23/08/2015;228,14
22/08/2015;227,7
21/08/2015;233,2
20/08/2015;236
19/08/2015;227,57
18/08/2015;250
17/08/2015;257,64
16/08/2015;255,38
15/08/2015;263,59
14/08/2015;266,5
13/08/2015;265,45
12/08/2015;270,13
11/08/2015;266,23
10/08/2015;264,84
09/08/2015;262,87
08/08/2015;269,36
07/08/2015;279,81
06/08/2015;278,35
05/08/2015;282,09
04/08/2015;285,14
03/08/2015;283,77
02/08/2015;281,77
01/08/2015;281,03
31/07/2015;284,53
30/07/2015;287,53
29/07/2015;291
28/07/2015;294,75
27/07/2015;295,46
26/07/2015;292,06
25/07/2015;289,96
24/07/2015;288,01
23/07/2015;277,06
22/07/2015;276,6
21/07/2015;279,52
20/07/2015;277,73
19/07/2015;276,09
